starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 14 21:35:08 2019	1550180108	102	17	119	17
Thu Feb 14 21:35:10 2019	1550180110	62	58	119	58
Thu Feb 14 21:35:05 2019	1550180105	75	45	119	43
Thu Feb 14 21:35:09 2019	1550180109	86	34	120	30
Thu Feb 14 21:35:08 2019	1550180108	101	20	120	19
Thu Feb 14 21:35:10 2019	1550180110	98	22	120	22
Thu Feb 14 21:35:07 2019	1550180107	74	47	121	46
Thu Feb 14 21:35:10 2019	1550180110	101	20	121	19
Thu Feb 14 21:35:07 2019	1550180107	102	19	121	18
Thu Feb 14 21:35:05 2019	1550180105	101	20	121	20
Thu Feb 14 21:35:07 2019	1550180107	76	46	122	45
Thu Feb 14 21:35:06 2019	1550180106	104	19	123	18
Thu Feb 14 21:35:07 2019	1550180107	94	29	123	29
Thu Feb 14 21:35:08 2019	1550180108	93	30	123	29
Thu Feb 14 21:35:10 2019	1550180110	109	15	124	15
Thu Feb 14 21:35:06 2019	1550180106	96	29	125	28
Thu Feb 14 21:35:05 2019	1550180105	68	58	125	57
Thu Feb 14 21:35:05 2019	1550180105	97	29	126	28
Thu Feb 14 21:35:07 2019	1550180107	101	25	126	25
Thu Feb 14 21:35:07 2019	1550180107	101	25	126	25
Thu Feb 14 21:35:06 2019	1550180106	86	41	127	40
Thu Feb 14 21:35:10 2019	1550180110	102	25	127	23
Thu Feb 14 21:35:06 2019	1550180106	87	41	127	40
Thu Feb 14 21:35:10 2019	1550180110	112	15	127	15
Thu Feb 14 21:35:06 2019	1550180106	97	30	127	30
Thu Feb 14 21:35:06 2019	1550180106	80	47	127	47
Thu Feb 14 21:35:07 2019	1550180107	103	25	127	25
Thu Feb 14 21:35:06 2019	1550180106	80	47	127	47
Thu Feb 14 21:35:06 2019	1550180106	97	30	127	30
Thu Feb 14 21:35:04 2019	1550180104	86	42	128	42
Thu Feb 14 21:35:08 2019	1550180108	101	27	128	26
Thu Feb 14 21:35:05 2019	1550180105	109	20	129	19
Thu Feb 14 21:35:06 2019	1550180106	95	34	129	31
Thu Feb 14 21:35:09 2019	1550180109	111	18	129	18
Thu Feb 14 21:35:09 2019	1550180109	104	26	129	25
Thu Feb 14 21:35:08 2019	1550180108	101	28	130	27
Thu Feb 14 21:35:08 2019	1550180108	102	28	130	28
Thu Feb 14 21:35:08 2019	1550180108	75	56	130	54
Thu Feb 14 21:35:05 2019	1550180105	97	33	130	33
Thu Feb 14 21:35:08 2019	1550180108	105	26	131	25
Thu Feb 14 21:35:10 2019	1550180110	112	19	131	18
Thu Feb 14 21:35:07 2019	1550180107	111	20	131	20
Thu Feb 14 21:35:08 2019	1550180108	75	56	131	54
Thu Feb 14 21:35:08 2019	1550180108	75	56	131	54
Thu Feb 14 21:35:08 2019	1550180108	86	46	132	46
Thu Feb 14 21:35:09 2019	1550180109	114	18	133	18
Thu Feb 14 21:35:10 2019	1550180110	74	59	133	59
Thu Feb 14 21:35:05 2019	1550180105	93	40	133	38
Thu Feb 14 21:35:05 2019	1550180105	93	41	133	40
Thu Feb 14 21:35:07 2019	1550180107	95	39	134	38
Thu Feb 14 21:35:07 2019	1550180107	87	48	134	47
